code,rose_3y,rank_3y,rank_r_3y,name,rose_2y,rank_2y,rank_r_2y,rose_1y,rank_1y,rank_r_1y,rose_6m,rank_6m,rank_r_6m,rose_3m,rank_3m,rank_r_3m
000004,42.45,2671,0.3522352630884874,中海可转债债券C,42.45,2671,0.3522352630884874,42.45,2671,0.3522352630884874,42.45,2671,0.3522352630884874,42.45,2671,0.3522352630884874
000016,2.43,5564,0.7337465383093762,华夏纯债债券C,2.43,5563,0.7336146643808519,2.43,5563,0.7336146643808519,2.43,5564,0.7337465383093762,2.43,5564,0.7337465383093762
000025,2.8,5469,0.7212185150995648,大摩双利增强债券C,2.8,5468,0.7210866411710405,2.8,5468,0.7210866411710405,2.8,5469,0.7212185150995648,2.8,5469,0.7212185150995648
000033,2.08,5737,0.7565607279440855,易方达信用债债券C,2.08,5737,0.7565607279440855,2.08,5737,0.7565607279440855,2.08,5737,0.7565607279440855,2.08,5737,0.7565607279440855
000048,29.0,3583,0.47250428590267707,华夏双债债券C,29.0,3584,0.4726361598312014,29.0,3584,0.4726361598312014,29.0,3583,0.47250428590267707,29.0,3583,0.47250428590267707
000068,20.06,4024,0.5306606883819069,民生加银转债优选C,20.06,4024,0.5306606883819069,20.06,4024,0.5306606883819069,20.06,4024,0.5306606883819069,20.06,4024,0.5306606883819069
000070,4.54,5213,0.6874587893973362,国投瑞银中高等级债券C,4.54,5212,0.6873269154688119,4.54,5212,0.6873269154688119,4.54,5213,0.6874587893973362,4.54,5213,0.6874587893973362
000081,13.43,4366,0.575761571937228,天治可转债增强债券C,13.43,4366,0.575761571937228,13.43,4366,0.575761571937228,13.43,4366,0.575761571937228,13.43,4366,0.575761571937228
000119,16.32,4180,0.5512330212317025,广发聚鑫债券C,16.32,4181,0.5513648951602268,16.32,4181,0.5513648951602268,16.32,4180,0.5512330212317025,16.32,4180,0.5512330212317025
000123,17.44,4128,0.5443755769484373,汇添富实业债债券C,17.44,4130,0.5446393248054859,17.44,4130,0.5446393248054859,17.44,4128,0.5443755769484373,17.44,4128,0.5443755769484373
000131,5.0,5151,0.6792826058288276,大成景兴信用债债券C,5.0,5148,0.6788869840432546,5.0,5148,0.6788869840432546,5.0,5151,0.6792826058288276,5.0,5151,0.6792826058288276
000141,2.02,5785,0.7628906765132534,富国国有企业债债券C,2.02,5784,0.762758802584729,2.02,5784,0.762758802584729,2.02,5785,0.7628906765132534,2.02,5785,0.7628906765132534
000148,2.25,5651,0.745219570090993,易方达高等级信用债债券C,2.25,5651,0.745219570090993,2.25,5651,0.745219570090993,2.25,5651,0.745219570090993,2.25,5651,0.745219570090993
000150,3.23,5383,0.7098773572464724,华安双债添利债券C,3.23,5383,0.7098773572464724,3.23,5383,0.7098773572464724,3.23,5383,0.7098773572464724,3.23,5383,0.7098773572464724
000153,1.87,5944,0.7838586311486219,大成景旭纯债债券C,1.87,5942,0.7835948832915732,1.87,5942,0.7835948832915732,1.87,5944,0.7838586311486219,1.87,5944,0.7838586311486219
000175,3.31,5371,0.7082948701041804,汇添富高息债债券C,3.31,5369,0.7080311222471317,3.31,5369,0.7080311222471317,3.31,5371,0.7082948701041804,3.31,5371,0.7082948701041804
000182,6.46,4993,0.6584465251219834,景顺长城四季金利债券C,6.46,4993,0.6584465251219834,6.46,4993,0.6584465251219834,6.46,4993,0.6584465251219834,6.46,4993,0.6584465251219834
000188,1.9,5903,0.7784518000791244,华泰柏瑞丰盛纯债债券C,1.9,5901,0.7781880522220757,1.9,5901,0.7781880522220757,1.9,5903,0.7784518000791244,1.9,5903,0.7784518000791244
000192,1.59,6207,0.8185414743505209,富国信用债债券C,1.59,6205,0.8182777264934722,1.59,6205,0.8182777264934722,1.59,6207,0.8185414743505209,1.59,6207,0.8185414743505209
000206,1.31,6410,0.8453118818409601,易方达投资级信用债债券C,1.31,6408,0.8450481339839114,1.31,6408,0.8450481339839114,1.31,6410,0.8453118818409601,1.31,6410,0.8453118818409601
000208,5.0,5150,0.6791507319003033,建信双债增强债券C,5.0,5147,0.6787551101147303,5.0,5147,0.6787551101147303,5.0,5150,0.6791507319003033,5.0,5150,0.6791507319003033
000217,41.82,2713,0.3577739680865093,华安黄金易ETF联接C,41.82,2713,0.3577739680865093,41.82,2713,0.3577739680865093,41.82,2713,0.3577739680865093,41.82,2713,0.3577739680865093
000241,25.87,3736,0.49268099696689965,宝盈核心优势混合C,25.87,3734,0.49241724910985096,25.87,3734,0.49241724910985096,25.87,3736,0.49268099696689965,25.87,3736,0.49268099696689965
000253,1.76,6052,0.7981010154292496,景顺长城景兴信用纯债债券C,1.76,6052,0.7981010154292496,1.76,6052,0.7981010154292496,1.76,6052,0.7981010154292496,1.76,6052,0.7981010154292496
000299,0.07,6580,0.8677304496900963,中海纯债债券C,0.07,6580,0.8677304496900963,0.07,6580,0.8677304496900963,0.07,6580,0.8677304496900963,0.07,6580,0.8677304496900963
000313,44.32,2519,0.33219042595278914,华安沪深300增强C,44.32,2517,0.33192667809574045,44.32,2517,0.33192667809574045,44.32,2519,0.33219042595278914,44.32,2519,0.33219042595278914
000320,1.13,6475,0.8538836871950415,宏利淘利债券C,1.13,6475,0.8538836871950415,1.13,6475,0.8538836871950415,1.13,6475,0.8538836871950415,1.13,6475,0.8538836871950415
000334,7.95,4809,0.6341817222735066,长城稳固收益债券C,7.95,4808,0.6340498483449822,7.95,4808,0.6340498483449822,7.95,4809,0.6341817222735066,7.95,4809,0.6341817222735066
000352,3.37,5360,0.7068442568904127,国富恒丰一年持有期债券C,3.37,5359,0.7067123829618884,3.37,5359,0.7067123829618884,3.37,5360,0.7068442568904127,3.37,5360,0.7068442568904127
000356,1.86,5955,0.7853092443623896,南方丰元信用增强债券C,1.86,5953,0.785045496505341,1.86,5953,0.785045496505341,1.86,5955,0.7853092443623896,1.86,5955,0.7853092443623896
000363,58.31,1623,0.2140313859949888,国泰聚信价值优势混合C,58.31,1620,0.2136357642094158,58.31,1620,0.2136357642094158,58.31,1623,0.2140313859949888,58.31,1623,0.2140313859949888
000376,42.9,2628,0.3465646841619412,华安中证细分医药ETF联接C,42.9,2628,0.3465646841619412,42.9,2628,0.3465646841619412,42.9,2628,0.3465646841619412,42.9,2628,0.3465646841619412
000378,18.77,4076,0.5375181326651721,摩根双债增利债券C,18.77,4077,0.5376500065936964,18.77,4077,0.5376500065936964,18.77,4076,0.5375181326651721,18.77,4076,0.5375181326651721
000386,13.05,4384,0.5781353026506659,景顺长城景颐双利债券C,13.05,4387,0.578530924436239,13.05,4387,0.578530924436239,13.05,4384,0.5781353026506659,13.05,4384,0.5781353026506659
000396,1.34,6398,0.843729394698668,汇添富安心中国债券C,1.34,6394,0.8432018989845708,1.34,6394,0.8432018989845708,1.34,6398,0.843729394698668,1.34,6398,0.843729394698668
000407,14.28,4305,0.5677172622972438,汇添富双利增强债券C,14.28,4307,0.5679810101542925,14.28,4307,0.5679810101542925,14.28,4305,0.5677172622972438,14.28,4305,0.5677172622972438
000420,2.07,5746,0.7577475933008044,大摩优质信价纯债C,2.07,5746,0.7577475933008044,2.07,5746,0.7577475933008044,2.07,5746,0.7577475933008044,2.07,5746,0.7577475933008044
000504,1.68,6118,0.8068046947118555,中信建投景和中短债C,1.68,6116,0.8065409468548068,1.68,6116,0.8065409468548068,1.68,6118,0.8068046947118555,1.68,6118,0.8068046947118555
000557,2.48,5543,0.7309771858103653,国投瑞银新机遇灵活配置混合C,2.48,5542,0.730845311881841,2.48,5542,0.730845311881841,2.48,5543,0.7309771858103653,2.48,5543,0.7309771858103653
000562,1.2,6451,0.8507187129104576,南方启元债券C,1.2,6449,0.8504549650534089,1.2,6449,0.8504549650534089,1.2,6451,0.8507187129104576,1.2,6451,0.8507187129104576
000564,1.21,6449,0.8504549650534089,南方通利债券C,1.21,6446,0.8500593432678359,1.21,6446,0.8500593432678359,1.21,6449,0.8504549650534089,1.21,6449,0.8504549650534089
000584,37.28,3076,0.40564420414084135,新华鑫益灵活配置混合C,37.28,3076,0.40564420414084135,37.28,3076,0.40564420414084135,37.28,3076,0.40564420414084135,37.28,3076,0.40564420414084135
000669,7.82,4826,0.6364235790584202,国寿安保尊享债券C,7.82,4825,0.6362917051298959,7.82,4825,0.6362917051298959,7.82,4826,0.6364235790584202,7.82,4826,0.6364235790584202
000673,0.72,6540,0.862455492549123,融通四季添利债券(LOF)C,0.72,6540,0.862455492549123,0.72,6540,0.862455492549123,0.72,6540,0.862455492549123,0.72,6540,0.862455492549123
000692,12.21,4446,0.5863114862191745,汇添富双利债券C,12.21,4446,0.5863114862191745,12.21,4446,0.5863114862191745,12.21,4446,0.5863114862191745,12.21,4446,0.5863114862191745
000720,1.84,5978,0.7883423447184492,南方稳利1年持有期债券C,1.84,5971,0.7874192272187789,1.84,5971,0.7874192272187789,1.84,5978,0.7883423447184492,1.84,5978,0.7883423447184492
