code,rose_3y,rank_3y,rank_r_3y,name,rose_2y,rank_2y,rank_r_2y,rose_1y,rank_1y,rank_r_1y,rose_6m,rank_6m,rank_r_6m,rose_3m,rank_3m,rank_r_3m,类型,scale,manager,sharpe_ratio,max_drawdown
000363,59.36,1556,0.20441408302679978,国泰聚信价值优势混合C,59.36,1562,0.20520231213872833,,1556,0.20441408302679978,,1562,0.20520231213872833,59.36,1568,0.20599054125065686,混合型,0.0,N/A,,
000796,74.3,1010,0.1326852338413032,宝盈睿丰创新混合C,74.3,1012,0.1329479768786127,,1010,0.1326852338413032,,1012,0.1329479768786127,74.3,1016,0.13347346295323173,混合型,0.0,N/A,,
000850,75.44,971,0.12756174461376774,汇丰晋信双核策略混合C,75.44,973,0.12782448765107723,,971,0.12756174461376774,,973,0.12782448765107723,75.44,982,0.12900683131897006,混合型,0.0,N/A,,
001174,120.82,187,0.024566473988439308,中欧瑾和灵活配置混合C,120.82,188,0.02469784550709406,,187,0.024566473988439308,,188,0.02469784550709406,120.82,189,0.024829217025748817,混合型,0.0,N/A,,
001326,82.93,751,0.0986600105097215,鹏华弘和混合C,82.93,758,0.09957961114030478,,751,0.0986600105097215,,758,0.09957961114030478,82.93,762,0.1001050972149238,混合型,0.0,N/A,,
001388,63.74,1364,0.1791907514450867,国联新经济混合C,63.74,1370,0.17997898055701525,,1364,0.1791907514450867,,1370,0.17997898055701525,63.74,1375,0.18063583815028902,混合型,0.0,N/A,,
001407,202.73,9,0.001182343667892801,景顺长城稳健回报混合C,202.73,10,0.0013137151865475565,,9,0.001182343667892801,,10,0.0013137151865475565,202.73,10,0.0013137151865475565,混合型,0.0,N/A,,
001426,81.25,792,0.10404624277456648,南方大数据300C,81.25,799,0.10496584340514976,,792,0.10404624277456648,,799,0.10496584340514976,83.71,739,0.09708355228586442,未知,0.0,N/A,,
001467,68.14,1190,0.15633210719915921,华富永鑫灵活配置混合C,68.14,1196,0.15712033631108777,,1190,0.15633210719915921,,1196,0.15712033631108777,68.14,1205,0.15830267997898056,混合型,0.0,N/A,,
001515,69.69,1147,0.15068313189700472,平安新鑫先锋C,69.69,1152,0.15133998949027852,,1147,0.15068313189700472,,1152,0.15133998949027852,69.69,1161,0.15252233315817132,未知,0.0,N/A,,
001557,64.26,1337,0.1756437204414083,天弘中证500指数增强C,64.26,1341,0.17616920651602733,,1337,0.1756437204414083,,1341,0.17616920651602733,64.26,1351,0.17748292170257488,指数型,0.0,N/A,,
001559,63.25,1376,0.18076720966894377,天弘医疗健康混合C,63.25,1384,0.18181818181818182,,1376,0.18076720966894377,,1384,0.18181818181818182,63.25,1392,0.18286915396741987,混合型,0.0,N/A,,
001593,93.74,537,0.07054650551760379,天弘创业板ETF联接C,93.74,539,0.0708092485549133,,537,0.07054650551760379,,539,0.0708092485549133,93.74,543,0.07133473462953231,未知,0.0,N/A,,
001608,58.54,1613,0.21190225959012085,英大策略优选C,58.54,1621,0.2129532317393589,,1613,0.21190225959012085,,1621,0.2129532317393589,58.54,1626,0.21361008933263267,未知,0.0,N/A,,
001618,102.0,387,0.05084077771939043,天弘中证电子ETF联接C,102.0,388,0.05097214923804519,,387,0.05084077771939043,,388,0.05097214923804519,102.0,398,0.05228586442459275,未知,0.0,N/A,,
001630,80.44,816,0.10719915922228061,天弘中证计算机ETF联接C,80.44,824,0.10825013137151865,,816,0.10719915922228061,,824,0.10825013137151865,80.44,829,0.10890698896479244,未知,0.0,N/A,,
001644,77.56,907,0.11915396741986338,汇丰晋信智造先锋股票C,77.56,910,0.11954808197582764,,907,0.11915396741986338,,910,0.11954808197582764,77.56,916,0.12033631108775618,股票型,0.0,N/A,,
001665,87.34,646,0.08486600105097215,平安鑫安混合C,87.34,648,0.08512874408828167,,646,0.08486600105097215,,648,0.08512874408828167,87.34,655,0.08604834471886495,混合型,0.0,N/A,,
001676,55.7,1774,0.2330530740935365,江信同福C,55.7,1780,0.23384130320546506,,1774,0.2330530740935365,,1780,0.23384130320546506,55.7,1784,0.2343667892800841,未知,0.0,N/A,,
001724,107.64,305,0.04006831318970047,申万菱信多策略灵活配置混合C,107.64,307,0.040331056227009984,,305,0.04006831318970047,,307,0.040331056227009984,107.64,310,0.04072517078297425,混合型,0.0,N/A,,
001770,102.73,371,0.04873883342091435,前海开源嘉鑫混合C,102.73,373,0.04900157645822386,,371,0.04873883342091435,,373,0.04900157645822386,102.73,384,0.05044666316342617,混合型,0.0,N/A,,
001966,79.62,839,0.11022070415133998,圆信永丰兴源灵活配置混合C,79.62,846,0.11114030478192329,,839,0.11022070415133998,,846,0.11114030478192329,79.62,850,0.1116657908565423,混合型,0.0,N/A,,
001998,86.84,655,0.08604834471886495,工银新焦点混合C,86.84,658,0.08644245927482921,,655,0.08604834471886495,,658,0.08644245927482921,86.84,665,0.0873620599054125,混合型,0.0,N/A,,
002004,61.92,1428,0.18759852863899107,工银新机遇灵活配置混合C,61.92,1432,0.1881240147136101,,1428,0.18759852863899107,,1432,0.1881240147136101,61.92,1441,0.1893063583815029,混合型,0.0,N/A,,
002036,65.72,1275,0.16749868628481346,安信优势增长混合C,66.71,1251,0.1643457698370993,,1275,0.16749868628481346,,1251,0.1643457698370993,66.71,1256,0.16500262743037308,混合型,0.0,N/A,,
002051,72.18,1077,0.14148712559117183,诺安创新驱动混合C,72.18,1077,0.14148712559117183,,1077,0.14148712559117183,,1077,0.14148712559117183,72.18,1081,0.14201261166579085,混合型,0.0,N/A,,
002052,154.29,51,0.006699947451392538,诺安稳健回报混合C,154.29,51,0.006699947451392538,,51,0.006699947451392538,,51,0.006699947451392538,154.29,51,0.006699947451392538,混合型,0.0,N/A,,
002053,79.36,849,0.11153441933788755,诺安优势行业混合C,79.36,855,0.11232264844981608,,849,0.11153441933788755,,855,0.11232264844981608,79.36,859,0.11284813452443511,混合型,0.0,N/A,,
002096,83.47,736,0.09668943772990016,博时新收益C,83.47,743,0.09760903836048344,,736,0.09668943772990016,,743,0.09760903836048344,83.47,748,0.09826589595375723,未知,0.0,N/A,,
002106,99.03,441,0.05793483972674724,德邦福鑫灵活配置混合C,99.03,444,0.05832895428271151,,441,0.05793483972674724,,444,0.05832895428271151,101.43,406,0.053336836573830794,混合型,0.0,N/A,,
002112,281.49,1,0.00013137151865475564,德邦鑫星价值灵活配置混合C,281.49,1,0.00013137151865475564,,1,0.00013137151865475564,,1,0.00013137151865475564,281.49,1,0.00013137151865475564,混合型,0.0,N/A,,
002158,74.88,995,0.13071466106148186,汇添富安鑫智选混合C,74.88,998,0.13110877561744613,,995,0.13071466106148186,,998,0.13110877561744613,74.88,1004,0.13189700472937468,混合型,0.0,N/A,,
002163,137.99,100,0.013137151865475564,东方惠新灵活配置混合C,137.99,100,0.013137151865475564,,100,0.013137151865475564,,100,0.013137151865475564,137.99,100,0.013137151865475564,混合型,0.0,N/A,,
002165,78.45,877,0.11521282186022071,汇添富达欣混合C,78.45,883,0.11600105097214924,,877,0.11521282186022071,,883,0.11600105097214924,78.45,886,0.1163951655281135,混合型,0.0,N/A,,
