code,rose_3y,rank_3y,rank_r_3y,name,rose_2y,rank_2y,rank_r_2y,rose_1y,rank_1y,rank_r_1y,rose_6m,rank_6m,rank_r_6m,rose_3m,rank_3m,rank_r_3m,类型
000363,57.05,1559,0.20419122462344466,国泰聚信价值优势混合C,57.05,1559,0.20419122462344466,57.05,1567,0.20523903077930583,57.05,1558,0.204060248853962,57.05,1559,0.20419122462344466,混合型
000796,73.08,977,0.12796332678454486,宝盈睿丰创新混合C,73.08,977,0.12796332678454486,73.08,982,0.12861820563195808,73.08,977,0.12796332678454486,73.08,977,0.12796332678454486,混合型
000850,75.96,882,0.11552062868369352,汇丰晋信双核策略混合C,75.96,882,0.11552062868369352,79.44,807,0.10569744597249509,75.96,881,0.11538965291421087,75.96,882,0.11552062868369352,混合型
001174,128.7,137,0.017943680419122462,中欧瑾和灵活配置混合C,128.7,137,0.017943680419122462,128.7,139,0.018205631958087755,128.7,137,0.017943680419122462,128.7,137,0.017943680419122462,混合型
001326,80.86,764,0.10006548788474132,鹏华弘和混合C,80.86,764,0.10006548788474132,80.86,770,0.1008513425016372,80.86,762,0.09980353634577603,80.86,764,0.10006548788474132,混合型
001388,62.31,1326,0.1736738703339882,国联新经济混合C,62.31,1326,0.1736738703339882,62.31,1333,0.17459070072036673,62.31,1325,0.17354289456450556,62.31,1326,0.1736738703339882,混合型
001407,193.94,9,0.0011787819253438114,景顺长城稳健回报混合C,193.94,9,0.0011787819253438114,193.94,10,0.0013097576948264572,193.94,9,0.0011787819253438114,193.94,9,0.0011787819253438114,混合型
001426,80.33,783,0.10255402750491159,南方大数据300C,80.33,783,0.10255402750491159,80.33,788,0.10320890635232483,80.33,780,0.10216110019646366,80.33,783,0.10255402750491159,未知
001467,66.45,1175,0.15389652914210872,华富永鑫灵活配置混合C,66.45,1175,0.15389652914210872,66.45,1180,0.15455140798952194,66.45,1174,0.15376555337262607,66.45,1175,0.15389652914210872,混合型
001515,69.77,1070,0.14014407334643092,平安新鑫先锋C,69.77,1071,0.14027504911591357,69.77,1073,0.14053700065487884,69.77,1068,0.13988212180746562,69.77,1070,0.14014407334643092,未知
001557,60.36,1395,0.18271119842829076,天弘中证500指数增强C,60.36,1395,0.18271119842829076,60.36,1405,0.18402095612311722,60.36,1393,0.18244924688932548,60.36,1395,0.18271119842829076,指数型
001559,57.77,1519,0.19895219384413884,天弘医疗健康混合C,57.77,1519,0.19895219384413884,57.77,1527,0.2,57.77,1520,0.1990831696136215,57.77,1519,0.19895219384413884,混合型
001593,91.3,551,0.07216764898493779,天弘创业板ETF联接C,91.3,552,0.07229862475442043,97.06,456,0.05972495088408644,91.3,549,0.0719056974459725,91.3,551,0.07216764898493779,未知
001608,55.22,1669,0.21859855926653568,英大策略优选C,55.22,1669,0.21859855926653568,55.22,1676,0.2195153896529142,55.22,1667,0.2183366077275704,55.22,1669,0.21859855926653568,未知
001618,107.7,287,0.03759004584151932,天弘中证电子ETF联接C,107.7,287,0.03759004584151932,107.7,291,0.0381139489194499,107.7,286,0.03745907007203667,107.7,287,0.03759004584151932,未知
001630,75.19,904,0.11840209561231173,天弘中证计算机ETF联接C,75.19,904,0.11840209561231173,75.19,908,0.1189259986902423,75.19,903,0.11827111984282908,75.19,904,0.11840209561231173,未知
001644,75.29,899,0.1177472167648985,汇丰晋信智造先锋股票C,75.29,899,0.1177472167648985,77.72,843,0.11041257367387033,75.29,898,0.11761624099541584,75.29,899,0.1177472167648985,股票型
001665,82.87,714,0.09351669941060904,平安鑫安混合C,82.87,714,0.09351669941060904,82.87,718,0.09404060248853963,82.87,711,0.0931237721021611,82.87,714,0.09351669941060904,混合型
001724,106.35,305,0.03994760969220694,申万菱信多策略灵活配置混合C,106.35,305,0.03994760969220694,106.35,308,0.04034053700065488,106.35,303,0.03968565815324165,106.35,305,0.03994760969220694,混合型
001770,109.48,269,0.0352324819908317,前海开源嘉鑫混合C,109.48,269,0.0352324819908317,109.48,274,0.035887360838244925,109.48,269,0.0352324819908317,109.48,269,0.0352324819908317,混合型
001966,74.69,926,0.12128356254092992,圆信永丰兴源灵活配置混合C,74.69,926,0.12128356254092992,74.69,930,0.12180746561886051,74.69,925,0.12115258677144729,74.69,926,0.12128356254092992,混合型
001997,54.81,1693,0.2217419777341192,工银新趋势灵活配置混合C,54.81,1693,0.2217419777341192,54.81,1701,0.22278978388998036,54.81,1692,0.22161100196463654,54.81,1693,0.2217419777341192,混合型
001998,83.82,689,0.0902423051735429,工银新焦点混合C,83.82,689,0.0902423051735429,83.82,695,0.09102815979043877,83.82,686,0.08984937786509496,83.82,689,0.0902423051735429,混合型
002004,62.93,1309,0.17144728225278325,工银新机遇灵活配置混合C,62.93,1309,0.17144728225278325,62.93,1317,0.1724950884086444,62.93,1308,0.1713163064833006,62.93,1309,0.17144728225278325,混合型
002036,59.65,1417,0.18559266535690896,安信优势增长混合C,59.65,1417,0.18559266535690896,59.65,1428,0.18703339882121808,59.65,1416,0.18546168958742631,59.65,1417,0.18559266535690896,混合型
002051,74.87,917,0.12010478061558612,诺安创新驱动混合C,74.87,917,0.12010478061558612,74.87,921,0.1206286836935167,74.87,916,0.11997380484610347,74.87,917,0.12010478061558612,混合型
002052,152.31,42,0.00550098231827112,诺安稳健回报混合C,152.31,42,0.00550098231827112,152.31,44,0.005762933857236412,152.31,42,0.00550098231827112,152.31,42,0.00550098231827112,混合型
002053,73.01,980,0.12835625409299278,诺安优势行业混合C,73.01,980,0.12835625409299278,73.01,985,0.12901113294040603,73.01,980,0.12835625409299278,73.01,980,0.12835625409299278,混合型
002096,84.98,669,0.08762278978388999,博时新收益C,84.98,669,0.08762278978388999,84.98,674,0.08827766863130321,84.98,666,0.08722986247544204,84.98,669,0.08762278978388999,未知
002106,89.53,571,0.0747871643745907,德邦福鑫灵活配置混合C,89.53,572,0.07491814014407334,100.18,397,0.05199738048461035,89.53,570,0.07465618860510806,89.53,571,0.0747871643745907,混合型
002112,248.39,2,0.0002619515389652914,德邦鑫星价值灵活配置混合C,248.39,2,0.0002619515389652914,248.39,2,0.0002619515389652914,248.39,2,0.0002619515389652914,248.39,2,0.0002619515389652914,混合型
